date,forecast_spend,lo_95,hi_95
2025-07-31,"3,599.29","3,502.68","3,695.90"
2025-08-31,"3,611.53","3,389.44","3,833.61"
2025-09-30,"3,629.36","3,275.85","3,982.87"
2025-10-31,"3,650.96","3,167.67","4,134.26"
2025-11-30,"3,674.05","3,065.94","4,282.15"
2025-12-31,"3,704.23","2,977.70","4,430.77"
2026-01-31,"3,715.88","2,877.82","4,553.94"
2026-02-28,"3,731.40","2,788.65","4,674.14"
2026-03-31,"3,748.64","2,707.11","4,790.17"
2026-04-30,"3,766.47","2,631.67","4,901.26"
2026-05-31,"3,781.78","2,558.79","5,004.77"
2026-06-30,"3,801.11","2,494.56","5,107.65"
